City,Date,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
pangkalanbuun,1566621413,63.0,ID,59.0,-2.68,111.62,88.4,5.88
inhambane,1566621454,3.0,MZ,66.0,-23.87,35.38,68.24,4.23
tokur,1566621455,100.0,RU,73.0,53.13,132.9,58.88,4.68
vila,1566621456,40.0,IT,100.0,45.18,8.4,70.0,5.82
roald,1566621457,75.0,NO,93.0,62.58,6.12,55.99,9.17
jamestown,1566621356,3.0,AU,76.0,-33.21,138.6,58.88,14.18
port elizabeth,1566621462,75.0,US,93.0,39.31,-74.98,70.0,4.7
bathsheba,1566621463,20.0,BB,78.0,13.22,-59.52,82.4,12.75
saskylakh,1566621465,96.0,RU,62.0,71.97,114.09,58.52,5.19
boa vista,1566621177,0.0,BR,74.0,2.82,-60.67,80.6,3.36
alice springs,1566621467,0.0,AU,9.0,-23.7,133.88,77.0,5.82
khatanga,1566621469,54.0,RU,48.0,71.98,102.47,64.46,5.41
sao paulo do potengi,1566621470,20.0,BR,88.0,-5.89,-35.76,71.6,5.82
los llanos de aridane,1566621471,0.0,ES,88.0,28.66,-17.92,71.6,16.11
redcliffe,1566621472,20.0,AU,54.0,-31.94,115.94,64.99,6.93
san patricio,1566621475,50.0,PY,87.0,-26.98,-56.83,49.88,5.55
kavieng,1566621476,60.0,PG,74.0,-2.57,150.8,83.0,12.68
meulaboh,1566621477,100.0,ID,86.0,4.14,96.13,78.14,16.31
aklavik,1566621478,90.0,CA,80.0,68.22,-135.01,41.0,11.41
basco,1566621481,75.0,US,88.0,40.33,-91.2,66.2,5.82
pangai,1566621482,75.0,TO,94.0,-19.8,-174.35,78.8,8.05
lebu,1566621483,75.0,ET,87.0,8.96,38.73,55.4,5.82
cockburn town,1566621225,7.0,TC,81.0,21.46,-71.14,83.18,22.62
konstantinovskiy,1566621486,0.0,RU,93.0,57.83,39.59,55.4,4.47
oksfjord,1566621487,93.0,NO,93.0,70.24,22.35,48.2,11.41
green river,1566621489,1.0,US,17.0,41.53,-109.47,64.4,10.29
midland,1566621304,1.0,US,65.0,32.0,-102.08,78.8,13.87
arraial do cabo,1566621491,81.0,BR,89.0,-22.97,-42.02,63.92,6.46
marsa matruh,1566621492,20.0,EG,83.0,31.35,27.25,77.0,5.82
glenwood springs,1566621494,1.0,US,21.0,39.55,-107.33,69.8,12.75
panguna,1566621495,99.0,PG,89.0,-6.32,155.48,76.7,6.89
husavik,1566621496,99.0,CA,51.0,50.56,-96.99,69.01,5.01
arman,1566621498,99.0,RU,77.0,59.7,150.17,57.08,6.89
goure,1566621499,96.0,NE,67.0,13.98,10.27,79.4,12.91
mayo,1566621500,75.0,CA,30.0,63.59,-135.9,59.0,4.7
sao joao da barra,1566621503,77.0,BR,91.0,-21.64,-41.05,63.38,1.72
mbini,1566621504,40.0,GQ,100.0,1.58,9.62,73.4,3.18
ahipara,1566621505,0.0,NZ,96.0,-35.17,173.16,57.99,28.99
pisco,1566621506,61.0,PE,82.0,-13.71,-76.2,60.8,6.93
ostrovnoy,1566621508,97.0,RU,80.0,68.05,39.51,48.26,4.38
bull savanna,1566621509,1.0,JM,76.0,17.89,-77.59,81.56,3.02
rongcheng,1566621511,73.0,CN,62.0,37.16,122.42,77.6,6.24
norwich,1566621513,1.0,GB,100.0,52.63,1.29,60.8,1.12
beya,1566621514,100.0,RU,78.0,53.05,90.92,57.44,16.35
palmer,1566621516,75.0,AU,67.0,-34.85,139.16,60.01,18.34
russell,1566621518,75.0,US,94.0,38.9,-98.86,72.0,10.29
qaqortoq,1566621519,0.0,GL,80.0,60.72,-46.03,41.0,4.7
cidreira,1566621520,0.0,BR,91.0,-30.17,-50.22,50.42,2.89
otjiwarongo,1566621522,0.0,NA,25.0,-20.46,16.65,53.6,3.36
beringovskiy,1566621524,43.0,RU,62.0,63.05,179.32,57.8,9.44
acapulco,1566621525,75.0,MX,78.0,16.86,-99.88,80.6,5.82
bambous virieux,1566621526,40.0,MU,88.0,-20.34,57.76,73.99,8.72
suraabad,1566621528,0.0,AZ,66.0,40.82,49.47,84.2,6.93
pochutla,1566621529,5.0,MX,88.0,15.74,-96.47,79.0,4.16
monroe,1566621530,1.0,US,51.0,41.91,-83.4,66.99,3.36
bafoulabe,1566621532,87.0,ML,93.0,13.81,-10.83,73.64,8.84
gorodishche,1566621533,88.0,RU,62.0,53.27,45.7,62.01,4.7
vardo,1566621534,1.0,US,93.0,39.62,-77.74,63.0,4.7
kidal,1566621535,63.0,ML,62.0,18.44,1.41,83.0,7.92
san cristobal,1566621537,0.0,HN,93.0,14.68,-86.92,66.62,5.26
black river,1566621538,40.0,JM,88.0,18.03,-77.85,78.8,2.24
dukat,1566621539,0.0,AL,53.0,40.25,19.57,80.01,1.99
otjimbingwe,1566621540,0.0,NA,28.0,-22.35,16.13,55.64,5.57
avera,1566621542,1.0,US,94.0,33.19,-82.53,75.2,3.02
itaituba,1566621543,18.0,BR,91.0,-4.26,-55.99,70.04,1.61
mahibadhoo,1566621544,36.0,MV,68.0,3.78,72.97,82.82,7.45
norman wells,1566621547,75.0,CA,93.0,65.28,-126.83,48.2,4.7
wuwei,1566621548,95.0,CN,41.0,37.93,102.64,79.0,4.18
college,1566621549,75.0,US,81.0,64.86,-147.8,51.8,3.36
kommunisticheskiy,1566621551,100.0,RU,92.0,61.68,64.48,53.12,13.29
saldanha,1566621552,0.0,PT,45.0,41.42,-6.55,66.44,3.18
doha,1566621262,0.0,QA,71.0,25.29,51.53,93.2,10.29
san rafael,1566621349,17.0,AR,48.0,-34.61,-68.33,53.3,5.21
lagoa,1566621556,0.0,PT,60.0,37.14,-8.45,73.99,5.82
darnah,1566621557,0.0,LY,82.0,32.77,22.64,77.6,13.4
codrington,1566621558,0.0,AU,36.0,-28.95,153.24,75.2,10.29
mae sai,1566621560,40.0,MM,88.0,20.44,99.89,87.01,4.7
east london,1566621561,0.0,ZA,100.0,-33.02,27.91,55.4,2.24
wanning,1566621562,0.0,AT,93.0,48.64,13.53,63.0,2.24
nara,1566621563,75.0,JP,69.0,34.68,135.8,86.0,5.82
kitgum,1566621565,39.0,UG,85.0,3.3,32.88,71.66,2.42
kruisfontein,1566621568,0.0,ZA,58.0,-34.0,24.73,62.12,7.92
jishui,1566621570,3.0,CN,44.0,27.23,115.13,97.22,12.44
saint-gabriel,1566621571,1.0,CA,77.0,46.3,-73.38,61.0,6.93
praia da vitoria,1566621573,75.0,PT,94.0,38.73,-27.07,69.8,14.12
